shirina,visina,dijametar,brend,shara,kolicina
205,55,16,sailun,ice blazer alpin,16
175,65,14,sailun,ice blazer alpin,8
195,65,15,fulda,kristal kontrol ,54
225,55,17,sava,intensa uhp 2,2
225,40,18,kelly,uhp,4
185,60,14,kelly,sumer st,2
185,60,14,kelly,winter  st,8
185,60,14,sava,all weather,4
165,70,14,sava ,all weather,1
155,70,13,debica,pasio,4
155,70,13,fulda,ekokontrol hp,6
155,80,13,sailun,ice blazer alpin,4
155,70,13,sailun,4seazon,2
175,65,14,sailun,4seazon,6
175,65,14,sava,all weather,6
175,65,14,sava,intensa hp,2
175,65,14,dunlop,sport,2
175,65,14,vojager,samer,4
175,65,14,sava, eskimo s3,4
195,65,15,good year,eficientgrip perf 2,8
195,65,15,sava,intensa,6
185,65,15,tigar,sumer hp,1
185,65,15,sailun,4seazon,6
195,65,15,sava,all weather,1
225,40,18,dunlop,sport,1
235,40,18,avon,sumer,2
295,30,19,avon,sumer,1
225,45,17,sailun,ice blazer alpin,12
225,45,18,sava,intensa uhp2,5
195,60,15,kelly,sumer st,2
195,70,15,tigar,kargo sped,1
205,55,16,good year,ultra grip 9,6
205,55,16,good year,4 seazon ,2
205,55,16,good year,eficientgrip perf 2,10
195,55,16,sailun ,atrezzo elite,5
205,55,16,sava,intensa hp,6
205,55,16,dunlop,sport,2
205,55,16,sava,eskimo hp2,14
215,60,17,sava,all weather,4
165,70,13,sailun,ice blazer alpin,4
315,35,20,sailun,ice blazer alpin,4
225,55,17,sailun,atrezzo elite,4
225,50,17,sava,intensa uhp 2,2
265,40,20,triangle,sumer,4
195,65,15,sava,eskimo s3,38
195,65,15,kelly ,winter  st,14
195,65,15,good year,ultra grip 9,8
245,35,21,gripmax,sure grip pro sport,1
195,65,15,debica, frigo hp 2,8
185,65,15,kelly,winter  st,12
195,65,15,sailun,4seazon,2
235,60,17,hankok, hankok,1
195,55,16,sava,all weather,4
185,65,14,matador, matador,4
185,65,14,kelly,sumer st,2
215,55,17,sava,eskimo hp 2,10
225,45,17,kelly,winter hp,8
255,35,19,sava,intensa uhp2,4
215,55,16,debica,frigo hp2,4
245,45,18,sava,intensa uhp 2,2
215,55,16,kelly ,sumer hp,4
225,55,16,debica ,frigo hp2,4
195,80,14,sailun,ZIMA,4
225,40,18,sailun,ice blazer alpin,4
205,50,17,sailun,ice blazer alpin,4
245,40,18,sailun,atrezzo elite,4
275,40,20,sailun,atrezzo elite,2
275,45,20,sailun,atrezzo elite,2
215,55,16,kelly,winter hp,4
215,55,16,sailun,ice blazer alpin,4
205,60,16,sailun,ice blazer alpin,4
205,60,16,sava,eskimo hp 2,4
215,60,16,sava ,eskimo hp 2,8
215,65,16,sava,eskimo hp 2,4
225,55,16,sava,eskimo hp 2,8
225,55,16,sailun,ice blazer alpin,4
185,75,16,sailun,endure wsl1,4
185,75,16,sava, trenta 2,6
205,65,16,sava,trenta  2,1
195,75,16,sailun,endure wsl1,10
195,75,16,sava,eskimo lt,6
195,75,16,lassa ,ZIMA,4
255,40,19,sava,intensa uhp 2,4
245,45,18,sava,eskimo hp 2,6
235,50,19,good year,zima,4
195,75,16,sava,trenta  2,2
195,75,16,tigar,kargo sped,4
185,80,14,sailun,endure wsl1,4
185,80,14,sailun,LETEN,2
185,80,14,sailun,LETEN,1
225,75,16,sailun,endure wsl1,4
225,75,16,sailun,4seazon,8
215,75,16,sailun,4 seazon ,4
205,75,16,tigar,kargo sped winter,2
235,65,16,windforce,ZIMA,2
235,65,16,tigar,kargo sped,2
185,65,14,sailun,ice blazer alpin,8
175,70,14,sailun,ice blazer alpin,8
215,55,17,good year,effigrip  performance,2
215,45,17,sailun,ice blazer alpin,4
215,45,17,sava,intensa uhp 2,2
275,40,20,sailun,ice blazer alpin,6
235,65,16,sailun,endure wsl1,8
225,55,17,sailun,ice blazer alpin,4
205,55,16,sava,sava eskimo s3,39
205,55,16,debica ,frigo hp 2,17
225,50,17,sailun,ice blazer alpin,4
185,65,15,sava,eskimo s3,8
185,65,15,fulda,kristal kontrol,6
185,65,15,debica ,navigator,4
185,65,15,sava,intensa hp 2,4
195,50,15,sailun,ice blazer alpin,4
185,55,15,sailun,4seazon,4
185,65,14,sailun,4seazon,2
185,60,14,sailun,4 seazon,8
165,65,14,sailun,ice blazer alpin,4
225,60,18,hankok,sumer run flat,4
205,60,16,debica ,frigo hp 2,4
215,60,16,debica ,frigo hp 2,4
165,70,14,kelly,winter st,4
185,60,14,sava,eskimo s3,6
175,65,14,debica ,frigo,4
185,55,15,sailun,ice blazer alpin,8
185,60,14,sailun,ice blazer alpin,8
175,65,14,sava,eskimo s3,4
185,60,14,kelly ,winter st,4
185,65,14,kelly,winter st,4
245,40,18,sava,intensa uhp 2,4
225,50,17,sava,eskimohp 2,12
215,60,17,sailun,ice blazer alpin,4
215,60,17,sava,intensa uhp 2,2
205,60,16,kelly,sumer hp,2
205,50,16,kelly,winter st,4
185,60,15,sailun,ice blazer alpin,4
185,60,15,sailun,4seazon,4
195,60,15,sailun,4seazon,4
195,60,15,sailun,ice blazer alpin,4
195,55,15,sailun,4seazon,12
195,55,15,sava,intensa hp 2,2
195,55,15,sava,eskimo hp 2,2
185,70,14,kleber,sumer,1
185,60,14,fulda ,kristal kontrol,4
175,65,15,sailun,4seazon,4
175,65,15,sailun,ice blazer alpin,4
175,65,15,debica ,frigo,4
245,45,17,sailun,ice blazer alpin,4
245,40,18,sailun,ice blazer alpin,4
185,60,15,fulda,kristal kontrol,2
185,60,15,debica ,frigo,4
225,45,18,sailun,ice blazer alpin,4
215,55,18,sava,intensa uhp 2,2
185,70,14,debica ,pasio,4
255,50,19,sailun,atrezzo elite,4
285,45,19,sailun,atrezzo elite,2
185,60,14,windforce,ZIMA,2
155,70,13,kelly,winter st,4
155,70,13,sailun,ice blazer alpin,4
195,65,15,sailun,sumer st,4
195,55,16,sailun,ice blazer alpin,4
175,70,13,sailun,ice blazer alpin,4
155,70,13,debica ,frigo,6
165,70,14,sailun,4 seazon,4
225,50,17,debica ,frigo hp2,1
245,40,20,sailun,ice blazer alpin,2
275,35,20,sailun,ice blazer alpin,2
225,60,17,dunlop,winter sport 5,4
6,0,16,bkt,so  6 pr,4
7,50,16,bkt,toma vinkovic,1
11,2,28,bkt,so 8 pr,4
12,4,28,bkt,so 8 pr,2
11,2,28,mrl, so 8 pr,1
275,40,20,avon,LETEN,1
265,65,17,avon,LETEN,4
195,60,15,kelly,winter st,2
185,70,14,sava,eskimo s3,4
225,45,17, lassa ,ZIMA,4
225,45,17,sava,eskimo hp 2,16
225,40,18,sava,eskimo hp 2,4
245,40,18,sava,eskimo hp 2,4
195,65,15,fulda,kristal kontrol,44
225,70,15,sailun,endure wsl1,4
245,40,20,triangle,sportex,1
275,35,20,triangle,sportex,2
195,50,15,kelly,sumer hp,3
155,65,14,sailun,ice blazer alpin,4
155,65,14,sailun,4seazon,4
155,65,14,sava,perfekta,4
5,0,8,bkt,viljuskar,2
